Enterobacterales,Pseudomonas,Acinetobacter,B. cepacia,S. maltophilia,"Nonfastidious, glucose-nonfermenting, gram-negative bacilli",Staphylococcus,Enterococcus,H. influenzae and parainfluenzae,N. gonorrheae,S. pneumoniae,Beta hemolytic streptococci,Viridans group Streptococci,N. meningitidis,Anaerobes,Abiotrophia and Granulicatella,Aerococcus,Aeromonas,Bacillus,Campylobacter jejuni and coli,Corynebacterium,E. rhusiopathiae,Gemella,HACEK,H. pylori,Lactobacillus,Lactococcus,Leuconostoc,L. monocytogenes,Micrococcus,M. catarrhalis,Pasteurella,Pediococcus,R. mucilaginosa,Vibrio,Potential Bioterrorism agents,Candida
Atlantibacter hermannii,Pseudomonas aeruginosa,Acinetobacter baumannii,Burkholderia cepacia,Stenotrophomonas maltophilia,Pseudomonas acidovorans,Staphylococcus argenteus,Enterococcus avium,Haemophylus influenzae,Neisseria gonorrheae,Streptococcus pneumoniae,Streptococcus pyogenes,Streptococcus anginosus,Neisseria meningitidis,Actinomyces bovis,Abiotrophia defectiva,Aerococcus sanguinicola,Aeromonas aquariorum,Bacillus agri,Campylobacter jejuni,Arcanobacterium bernardiae,Erysipeothrix rhusiopathiae,Gemella asaccharolytica,Aggregatibacter actinomycetemcomitans,Helycobacter pylori,Lactobacillus acidophilus,Lactococcus garvieae bovis,Leuconostoc argentinum,Listeria monocytogenes,Micrococcus kristinae,Moraxella catarrhalis,Pasteurella aerogenes,Pediococcus acidilactici,Ruthia mucilaginosa,Vibrio albensis,Bacillus anthracis,Candida albicans
Budvicia aquatica,,Acinetobacter baylyi,,,Pseudomonas alcaligenes,Staphylococcus aureus,Enterococcus casseliflavus,Haemophylus parainfluenzae,,,Streptococcus agalactiae,Streptococcus constellatus,,Actinomyces dentalis,Abiotrophia elegans,Aerococcus urinae,Aeromonas caviae,Bacillus alvei,Campylobacter coli,Arcanobacterium pyogenes,,Gemella bergeri,Aggregatibacter aphrophilus,,Lactobacillus argentoratensis,Lactococcus garvieae garvieae,Leuconostoc lactis,,Micrococcus luteus,,Pasteurella anatis,Pediococcus argentinicus,,Vibrio alginolyticus,Yersinia pestis,Candida glabrata
Buttiauxella gaviniae,,Acinetobacter beijerinckii,,,Pseudomonas andropogonis,Staphylococcus aureus anaerobius,Enterococcus durans,,,,Streptococcus dysgalactiae equisimilis,Streptococcus intermedius,,Actinomyces hongkongensis,Granulicatella adjacens,Aerococcus viridans,Aeromonas culicicola,Bacillus amylolyticus,,Arthrobacter albus,,Gemella bergeriae,Aggregatibacter paraphrophilus,,Lactobacillus arizonensis,,Leuconostoc mesenteroides cremoris,,Micrococcus roseus,,Pasteurella bettii,Pediococcus cellicola,,Vibrio anguillarum,Burkholderia mallei,Candida guilliermondii
Calymmatobacterium granulomatis,,Acinetobacter berezinae,,,Pseudomonas antimicrobica,Staphylococcus aureus aureus,Enterococcus faecalis,,,,Streptococcus dysgalactiae dysgalactiae,Streptococcus australis,,Actinomyces johnsonii,Granulicatella elegans,Aerococcus sp.,Aeromonas dhakensis,Bacillus brevis,,Arthrobacter luteolus,,Gemella haemolysans,Aggregatibacter segnis,,Lactobacillus casei alactosus,,Leuconostoc mesenteroides dextranicum,,Micrococcus sedentarius,,Pasteurella bettyae,Pediococcus claussenii,,Vibrio carchariae,Burkholderia pseudomallei,Candida parapsilosis
Cedecea davisae,,Acinetobacter bereziniae,,,Pseudomonas asiatica,Staphylococcus borealis,Enterococcus faecium,,,,Streptococcus equi equi,Streptococcus cristatus,,Actinotignum sanguinis,Abiotrophia sp.,,Aeromonas hydrophila anaerogenes,Bacillus centrosporus,,Arthrobacter sanguinis,,Gemella morbillorum,Cardiobacterium hominis,,Lactobacillus casei casei,,Leuconostoc mesenteroides jonggajibkimchii,,Micrococcus varians,,Pasteurella caballi,Pediococcus damnosus,,Vibrio cholerae,Franciscella tularensis,Candida tropicalis
Cedecea lapagei,,Acinetobacter calcoaceticus,,,Pseudomonas cepacia,Staphylococcus capitis,Enterococcus gallinarum,,,,Streptococcus equi zooepidimicus,Streptococcus infantis,,Agathobacter rectale,Granulicatella sp.,,Aeromonas hydrophila dhakensis,Bacillus cereus,,Arthrobacter scleromae,,Gemella parahaemolysans,Cardiobacterium valvarum,,Lactobacillus casei pseudoplantarum,,Leuconostoc mesenteroides mesenteroides,,Micrococcus yunnanensis,,Pasteurella canis,Pediococcus ethanolidurans,,Vibrio cidicii,Brucella abortus,Candida sp.
Cedecea neteri,,Acinetobacter grimontii,,,Pseudomonas chloritidismutans,Staphylococcus capitis capitis,Enterococcus hirae,,,,Streptococcus canis,Streptococcus massiliensis,,Agathobacter rectalis,,,Aeromonas hydrophila hydrophila,Bacillus circulans,,Arthrobacter siderocapsulatus,,Gemella sanguinis,Eikenella corrodens,,Lactobacillus casei rhamnosus,,Leuconostoc mesenteroides suionicum,,Micrococcus sp.,,Pasteurella dagmatis,Pediococcus inopinatus,,Vibrio cincinnatiensis,Brucella anthropi,
Citrobacter amalonatica,,Acinetobacter guillouiae,,,Pseudomonas cocovenenans,Staphylococcus capitis urealyticus,Enterococcus mundtii,,,,,Streptococcus mitis,,Alistipes finegoldii,,,Aeromonas hydrophila proteolytica,Bacillus coagulans,,Arthrobacter woluwensis,,Gemella taiwanensis,Kingella denitrificans,,Lactobacillus casei tolerans,,Leuconostoc pseudomesenteroides,,,,Pasteurella gallicida,Pediococcus parvulus,,Vibrio damselae,Brucella canis,
Citrobacter amalonaticus,,Acinetobacter gyllenbergii,,,Pseudomonas diminuta,Staphylococcus capitis ureolyticus,Enterococcus raffinosus,,,,,Streptococcus oligofermentans,,Alistipes indistinctus,,,Aeromonas hydrophila ranae,Bacillus cytotoxicus,,Brevibacterium acetylicum,,Gemella sp.,Kingella indologenes,,Lactobacillus catenaformis,,Leuconostoc sp.,,,,Pasteurella haemolytica,Pediococcus pentosaceus,,Vibrio fluvialis,Brucella ceti,
Citrobacter braakii,,Acinetobacter haemolyticus,,,Pseudomonas fluorescens,Staphylococcus caprae,Enterococcus sp.,,,,,Streptococcus oralis,,Alistipes onderdonkii onderdonkii,,,Aeromonas jandaei,Bacillus fusiformis,,Brevibacterium casei,,,Kingella kingae,,Lactobacillus confusa,,,,,,Pasteurella lymphangitidis,Pediococcus siamensis,,Vibrio furnissii,Brucella haematophila,
Citrobacter cronae,,Acinetobacter johnsonii,,,Pseudomonas fulva,Staphylococcus cohnii,,,,,,Streptococcus peroris,,Alistipes shahii,,,Aeromonas punctata caviae,Bacillus galactophilus,,Brevibacterium fermentans,,,Kingella orale,,Lactobacillus confusus,,,,,,Pasteurella multocida gallicida,Pediococcus stilesii,,Vibrio harveyi,Brucella inopinata,
Citrobacter diversus,,Acinetobacter junii,,,Pseudomonas gladioli,Staphylococcus cohnii cohnii,,,,,,Streptococcus pseudopneumoniae,,Alloprevotella rava,,,Aeromonas punctata punctata,Bacillus glucanolyticus,,Brevibacterium iodinum,,,Kingella oralis,,Lactobacillus delbrueckii bulgaricus,,,,,,Pasteurella multocida multocida,Pediococcus sp.,,Vibrio hollisae,Brucella intermedia,
Citrobacter farmeri,,Acinetobacter lwoffii,,,Pseudomonas glumae,Staphylococcus cohnii urealyticum,,,,,,Streptococcus sinensis,,Alloprevotella tannerae,,,Aeromonas salmonicida achromogenes,Bacillus idriensis,,Brevibacterium luteolum,,,Kingella potus,,Lactobacillus delbrueckii delbrueckii,,,,,,Pasteurella multocida septica,,,Vibrio injenensis,Brucella melitensis,
Citrobacter freundii,,Acinetobacter nosocomialis,,,Pseudomonas huttiensis,Staphylococcus cohnii urealyticus,,,,,,Streptococcus sanguinis,,Anaerobiospirillum succiniciproducens,,,Aeromonas salmonicida masoucida,Bacillus infantis,,Brevibacterium lutescens,,,,,Lactobacillus delbrueckii indicus,,,,,,Pasteurella pneumotropica,,,Vibrio injensis,Brucella microti,
