Enterobacterales,Pseudomonas,S. maltophilia,Acinetobacter,Staphylococcus,Enterococcus,"Streptococcus A,B,C,G",S. pneumoniae,Viridans group Streptococci,H. influenzae,M. catarrhalis,N. gonorrheae,N. meningitidis,Bacteroides,Prevotella,F. necrophorum,C. perfringens,C. acnes,C. difficile,H. pylori,L. monocytogenes,Pasteurella,Campylobacter jejuni and coli,Corynebacterium,Corynebacterium diphteriae and ulcerans,Aerococcus sanguinicola and urinae,K. kingae,Aeromonas,A. xylosoxidans,Vibrio,Bacillus,B. pseudomallei,Candida and Cryptococcus,Aspergillus
Atlantibacter hermannii,Pseudomonas acidovorans,Stenotrophomonas maltophilia,Acinetobacter baumannii,Staphylococcus argenteus,Enterococcus avium,Streptococcus pyogenes,Streptococcus pneumoniae,Streptococcus anginosus,Haemophylus influenzae,Moraxella catarrhalis,Neisseria gonorrheae,Neisseria meningitidis,Bacteroides asaccharolyticus,Prevotella amnii,Fusobacterium necrophorum,Clostridium perfringens,Cutibacterium acnes,Clostridioides difficile,Helycobacter pylori,Listeria monocytogenes,Pasteurella aerogenes,Campylobacter jejuni,Corynebacterium accolens,Corynebacterium diphteriae,Aerococcus sanguinicola,Kingella kingae,Aeromonas aquariorum,Achromobacter xylosoxidans,Vibrio alginolyticus,Bacillus agri,Burkholderia pseudomallei,Candida albicans,Aspergillus flavus
Budvicia aquatica,Pseudomonas aeruginosa,,Acinetobacter baylyi,Staphylococcus aureus,Enterococcus casseliflavus,Streptococcus agalactiae,,Streptococcus constellatus,Haemophylus parainfluenzae,,,,Bacteroides bivius,Prevotella aurantiaca,,,,,,,Pasteurella anatis,Campylobacter coli,Corynebacterium afermentans,Corynebacterium ulcerans,Aerococcus urinae,,Aeromonas caviae,,Vibrio cholerae,Bacillus alvei,,Candida dubliniensis,Aspergillus fumigatus
Buttiauxella gaviniae,Pseudomonas alcaligenes,,Acinetobacter beijerinckii,Staphylococcus aureus anaerobius,Enterococcus durans,Streptococcus dysgalactiae equisimilis,,Streptococcus intermedius,,,,,Bacteroides buccae,Prevotella baroniae,,,,,,,Pasteurella bettii,,Corynebacterium afermentans afermentans,,,,Aeromonas culicicola,,Vibrio fluvialis,Bacillus amylolyticus,,Candida glabrata,Aspergillus nidulans
Calymmatobacterium granulomatis,Pseudomonas andropogonis,,Acinetobacter berezinae,Staphylococcus aureus aureus,Enterococcus faecalis,Streptococcus dysgalactiae dysgalactiae,,Streptococcus australis,,,,,Bacteroides buccalis,Prevotella bergensis,,,,,,,Pasteurella bettyae,,Corynebacterium afermentans lipophilum,,,,Aeromonas dhakensis,,Vibrio parahaemolyticus,Bacillus brevis,,Candida krusei,Aspergillus niger
Cedecea davisae,Pseudomonas antimicrobica,,Acinetobacter bereziniae,Staphylococcus borealis,Enterococcus faecium,Streptococcus equi equi,,Streptococcus cristatus,,,,,Bacteroides caccae,Prevotella bivia,,,,,,,Pasteurella caballi,,Corynebacterium amycolatum,,,,Aeromonas hydrophila,,Vibrio vulnificus,Bacillus centrosporus,,Candida parapsilosis,Aspergillus terreus
Cedecea lapagei,Pseudomonas asiatica,,Acinetobacter calcoaceticus,Staphylococcus capitis,Enterococcus gallinarum,Streptococcus equi zooepidimicus,,Streptococcus infantis,,,,,Bacteroides capillus,Prevotella bivius,,,,,,,Pasteurella canis,,Corynebacterium appendicis,,,,Aeromonas hydrophila anaerogenes,,Vibrio sp.,Bacillus cereus,,Candida tropicalis,
Cedecea neteri,Pseudomonas cepacia,,Acinetobacter grimontii,Staphylococcus capitis capitis,Enterococcus hirae,Streptococcus canis,,Streptococcus massiliensis,,,,,Bacteroides coagulans,Prevotella brunnea,,,,,,,Pasteurella dagmatis,,Corynebacterium aquatimens,,,,Aeromonas hydrophila dhakensis,,,Bacillus circulans,,Candida guilliermondii,
Citrobacter amalonatica,Pseudomonas chloritidismutans,,Acinetobacter guillouiae,Staphylococcus capitis urealyticus,Enterococcus mundtii,,,Streptococcus mitis,,,,,Bacteroides corporis,Prevotella buccae,,,,,,,Pasteurella gallicida,,Corynebacterium argentoratense,,,,Aeromonas hydrophila hydrophila,,,Bacillus coagulans,,Cryptococcus neoformans,
Citrobacter amalonaticus,Pseudomonas cocovenenans,,Acinetobacter gyllenbergii,Staphylococcus capitis ureolyticus,Enterococcus raffinosus,,,Streptococcus oligofermentans,,,,,Bacteroides denticola,Prevotella buccalis,,,,,,,Pasteurella haemolytica,,Corynebacterium aurimucosum,,,,Aeromonas hydrophila proteolytica,,,Bacillus cytotoxicus,,Candida sp.,
Citrobacter braakii,Pseudomonas diminuta,,Acinetobacter haemolyticus,Staphylococcus caprae,Enterococcus sp.,,,Streptococcus oralis,,,,,Bacteroides disiens,Prevotella capillus,,,,,,,Pasteurella lymphangitidis,,Corynebacterium auris,,,,Aeromonas hydrophila ranae,,,Bacillus fusiformis,,,
Citrobacter cronae,Pseudomonas fluorescens,,Acinetobacter johnsonii,Staphylococcus cohnii,,,,Streptococcus peroris,,,,,Bacteroides distasonis,Prevotella colorans,,,,,,,Pasteurella multocida,,Corynebacterium auriscanis,,,,Aeromonas jandaei,,,Bacillus galactophilus,,,
